sepal_length,sepal_width,petal_length,petal_width,class
16.002,8.382,15.24,6.35,Iris-virginica
14.732,6.8580000000000005,12.953999999999999,4.826,Iris-virginica
18.034,7.62,14.986,5.3340000000000005,Iris-virginica
16.002,7.366,14.223999999999998,4.572,Iris-virginica
16.51,7.62,14.732,5.588000000000001,Iris-virginica
19.304,7.62,16.764,5.3340000000000005,Iris-virginica
12.446000000000002,6.35,11.43,4.318,Iris-virginica
18.541999999999998,7.366,16.002,4.572,Iris-virginica
17.018,6.35,14.732,4.572,Iris-virginica
18.288,9.144,15.494,6.35,Iris-virginica
16.51,8.128,12.953999999999999,5.08,Iris-virginica
16.256,6.8580000000000005,13.462,4.826,Iris-virginica
17.272,7.62,13.97,5.3340000000000005,Iris-virginica
14.478000000000002,6.35,12.7,5.08,Iris-virginica
14.732,7.111999999999999,12.953999999999999,6.096,Iris-virginica
16.256,8.128,13.462,5.842,Iris-virginica
16.51,7.62,13.97,4.572,Iris-virginica
19.558,9.652,17.018,5.588000000000001,Iris-virginica
19.558,6.604,17.526,5.842,Iris-virginica
15.24,5.588000000000001,12.7,3.81,Iris-virginica
17.526,8.128,14.478000000000002,5.842,Iris-virginica
14.223999999999998,7.111999999999999,12.446000000000002,5.08,Iris-virginica
19.558,7.111999999999999,17.018,5.08,Iris-virginica
16.002,6.8580000000000005,12.446000000000002,4.572,Iris-virginica
17.018,8.382,14.478000000000002,5.3340000000000005,Iris-virginica
18.288,8.128,15.24,4.572,Iris-virginica
15.748000000000001,7.111999999999999,12.192,4.572,Iris-virginica
15.494,7.62,12.446000000000002,4.572,Iris-virginica
16.256,7.111999999999999,14.223999999999998,5.3340000000000005,Iris-virginica
18.288,7.62,14.732,4.064,Iris-virginica
18.796000000000003,7.111999999999999,15.494,4.826,Iris-virginica
20.066000000000003,9.652,16.256,5.08,Iris-virginica
16.256,7.111999999999999,14.223999999999998,5.588000000000001,Iris-virginica
16.002,7.111999999999999,12.953999999999999,3.81,Iris-virginica
15.494,6.604,14.223999999999998,3.5559999999999996,Iris-virginica
19.558,7.62,15.494,5.842,Iris-virginica
16.002,8.636,14.223999999999998,6.096,Iris-virginica
16.256,7.8740000000000006,13.97,4.572,Iris-virginica
15.24,7.62,12.192,4.572,Iris-virginica
17.526,7.8740000000000006,13.716000000000001,5.3340000000000005,Virginica
17.018,7.8740000000000006,14.223999999999998,6.096,Iris-virginica
17.526,7.8740000000000006,12.953999999999999,5.842,Iris-virginica
14.732,6.8580000000000005,12.953999999999999,4.826,Iris-virginica
17.272,8.128,14.986,5.842,Iris-virginica
17.018,8.382,14.478000000000002,6.35,Iris-virginica
17.018,7.62,13.208,5.842,Iris-virginica
16.002,6.35,12.7,4.826,Iris-virginica
16.51,7.62,13.208,5.08,Iris-virginica
15.748000000000001,8.636,13.716000000000001,5.842,Iris-virginica
14.986,7.62,12.953999999999999,4.572,Iris-virginica
